Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 
   6806  申萬宏源　　　　         897,600      1,831,848
   6818  中國光大銀行　　         634,000      1,954,960
   6821  凱萊英　　　　　           3,100        139,875
   6823  香港電訊－ＳＳ　           7,000         73,260
   6826  昊海生物科技　　           3,000         74,745
   6855  亞盛醫藥－Ｂ　　         221,200      8,585,530
   6862  海底撈　　　　　      10,582,000    181,626,300
   6865  福萊特玻璃　　　         249,000      2,256,740
   6869  長飛光纖光纜　　          24,000        344,700
   6881  中國銀河　　　　         645,000      4,634,360
   6886  HTSC                    382,600      4,331,732
   6936  順豐控股　　　　         136,000      4,996,320
   6963  陽光保險　　　　          37,000        128,340
   6969  思摩爾國際　　　       2,291,000     28,598,620
   6979  珍酒李渡　　　　          59,800        410,272
   6990  科倫博泰生物－Ｂ         120,900     38,833,120
   6993  藍月亮集團　　　          74,500        278,275
   7200  ＦＬ二南方�瓻�　       1,424,800      5,893,227
   7226  ＸＬ二南方�甯魽@         645,700      3,056,627
   7233  ＸＬ二南方滬深三         498,100      1,648,525
   7234  ＸＬ二博時中創業         573,700      1,691,928
   7261  ＦＬ二華夏納一百             300          7,596
   7288  ＦＬ二南方國指　       2,102,600      5,753,594
   7299  ＦＬ二南方黃金　         100,000      1,633,000
   7300  ＦＩ南方�瓻�　　         121,700        524,149
   7311  ＸＩ二南ＣＯ　　           5,490        401,841
   7332  ＦＩ富邦台灣　　         580,000      2,727,000
   7366  ＸＩ二南特斯　　          17,480        902,727
   7388  ＸＩ二南英偉　　          10,190        691,343
   7399  ＸＩ二南策略　　          17,640        829,374
   7500  ＦＩ二南方�瓻�　       4,012,900     11,639,971
   7522  ＦＩ二華夏納一百       3,338,500      2,927,776
   7552  ＸＩ二南方�甯魽@     171,208,300    341,479,309
   7568  ＦＩ二南方納指　         703,400      4,038,387
   7588  ＦＩ二南方國指　         392,300        823,571
   7711  ＸＬ二南ＣＯ　　          11,320        721,257
   7777  ＸＬ二南巴郡　　              30          2,321
   7788  ＸＬ二南英偉　　          16,880      1,155,949
   7799  ＸＬ二南策略　　           7,250        496,252
 % 9009  博時以太幣－Ｕ　       1,118,800        178,848
 % 9115  安碩�琤肏�數－Ｕ          11,600        116,370
 % 9177  ＰＰ國債對沖－Ｕ           2,000         38,800
 % 9191  ＧＸ中國半導－Ｕ           5,200         27,352
 % 9404  華夏印度－Ｕ　　          59,800         50,112
   9618  京東集團－ＳＷ　       2,592,350    377,471,080
   9626  嗶哩嗶哩－Ｗ　　         616,440     82,963,794
   9633  農夫山泉　　　　         590,200     21,043,390
   9636  九方智投控股　　          61,500      2,019,275
   9658  特海國際　　　　          17,000        263,560
   9660  地平線機器人－Ｗ       4,908,600     30,711,036
   9668  渤海銀行　　　　          39,000         33,535
   9676  十月稻田　　　　          20,700        148,122
   9688  再鼎醫藥　　　　       1,090,600     27,200,385
   9690  途虎－Ｗ　　　　          19,300        329,498
   9696  天齊鋰業　　　　          45,600      1,014,540
   9698  萬國數據－ＳＷ　       1,472,500     29,526,955
   9699  順豐同城　　　　           2,400         20,018
 % 9711  ＸＬ二南ＣＯ－Ｕ           3,170         26,237
 % 9766  ＸＬ二南特斯－Ｕ             400          3,876
 % 9801  安碩中國－Ｕ　　           1,600          4,518
 % 9845  ＧＸ中國電車－Ｕ             300          3,114
   9858  優然牧業　　　　         437,000      1,121,230
   9860  艾迪康控股　　　          18,500        116,185
   9863  零跑汽車　　　　       2,444,400    119,514,740
   9866  蔚來－ＳＷ　　　       2,083,940     57,634,339
   9868  小鵬汽車－Ｗ　　       2,749,000    221,349,035
   9869  海倫司　　　　　          87,500        146,260
   9878  匯通達網絡　　　          44,600        534,198
   9880  優必選　　　　　         242,700     17,786,730
   9885  藥師幫　　　　　          13,000         79,126
   9888  百度集團－ＳＷ　       2,935,000    244,408,585
   9889  東莞農商銀行　　           7,000         24,010
   9890  中旭未來　　　　          17,000        127,142
   9896  名創優品　　　　         339,200     10,585,070
   9898  微博－ＳＷ　　　         132,580      8,107,448
   9899  網易雲音樂　　　          20,000      2,945,275
   9901  新東方－Ｓ　　　         729,000     24,646,185
   9911  赤子城科技　　　         206,000      1,151,860
   9922  九毛九　　　　　          32,000         86,190
   9923  移卡　　　　　　         220,800      1,597,256
   9926  康方生物　　　　       1,292,000    112,578,850
   9930  宏信建發　　　　           1,000          1,050
   9956  安能物流　　　　          39,500        351,660
   9959  聯易融科技－Ｗ　         531,500        579,165
   9961  攜程集團－Ｓ　　         586,250    256,405,860
   9966  康寧傑瑞製藥－Ｂ          68,000        451,950
   9969  諾誠健華　　　　       1,365,000     11,912,040
   9979  綠城管理控股　　       2,280,000      6,309,530
   9985  衛龍美味　　　　         829,600     13,359,884
   9987  百勝中國　　　　         452,300    159,231,300
   9988  阿里巴巴－Ｗ　　      24,838,600  2,685,361,590
   9992  泡泡瑪特　　　　       2,086,400    330,364,780
   9993  金輝控股　　　　           5,000         11,640
   9995  榮昌生物　　　　         528,000     16,147,075
   9996  沛嘉醫療－Ｂ　　         155,000        728,600
   9997  康基醫療　　　　          51,500        370,300
   9999  網易－Ｓ　　　　       1,049,000    161,917,800
 %80011  �琤芼�行－Ｒ　　             800         74,355
 %80020  商湯－ＷＲ　　　          51,000         71,400
 %80175  吉利汽車－Ｒ　　           3,000         46,800
 %80291  華潤啤酒－Ｒ　　          80,500      2,114,125
 %80388  香港交易所－Ｒ　           2,100        651,840
 %80700  騰訊控股－Ｒ　　           7,400      3,160,680
 %80883  中國海洋石油－Ｒ          46,000        717,160
 %80941  中國移動－Ｒ　　          19,500      1,493,475
 %80992  聯想集團－Ｒ　　         302,000      2,413,400
 %81024  快手－ＷＲ　　　           8,400        402,190
 %81299  友邦保險－Ｒ　　           4,600        227,170
 %81810  小米集團－ＷＲ　          16,000        675,930
 %82020  安踏體育－Ｒ　　           1,000         80,950
 %82318  中國平安－Ｒ　　          45,500      1,871,325
 %82333  長城汽車－Ｒ　　           3,000         34,440
 %82388  中銀香港－Ｒ　　          11,000        304,150
 %82800  盈富基金－Ｒ　　          40,500        828,550
 %82822  南方Ａ５０－Ｒ　           5,400         62,856
 %82828  �琤秅什磪禶~－Ｒ             600         46,176
 %82846  安碩滬深三百－Ｒ             100          2,510
 %83188  華夏滬深三百－Ｒ          90,600      3,525,324
 %83199  工銀南方國債－Ｒ             160         17,072
 %83690  美團－ＷＲ　　　           8,000      1,096,840
 %89618  京東集團－ＳＷＲ           2,100        287,315
 %89988  阿里巴巴－ＷＲ　          20,000      2,027,460

錄得賣空交易之證券（所有證券）數目　　　　　　　　　　　　　　　：                  688
錄得賣空交易之指定證券（不包括交易所買賣產品）數目　　　　　　　：                  614
錄得賣空交易之指定證券（僅限交易所買賣產品）數目　　　　　　　　：                   74
錄得賣空交易之指定證券（所有指定證券）數目　　　　　　　　　　　：                  688


（A） 賣空指定證券（不包括交易所買賣產品）
　　　賣空交易成交股數　　　　　　　　　　　　　　　　　　　　　：　　　    935,138,160
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： CNY　     17,751,005
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： HKD　 18,199,680,447

市場總成交　　　　　　　　　　　　　　　　　　　　　　　　　　　： HKD　154,258,923,041
賣空指定證券（不包括交易所買賣產品）佔市場總成交的百分比　　　　：　　　　　　　　  12%


（B） 賣空指定證券（僅限交易所買賣產品）
　　　賣空交易成交股數　　　　　　　　　　　　　　　　　　　　　：　　　    792,923,965
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： CNY　      4,482,488
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： HKD　  4,254,488,954
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： USD　        449,227

市場總成交　　　　　　　　　　　　　　　　　　　　　　　　　　　： HKD　154,258,923,041
賣空指定證券（僅限交易所買賣產品）佔市場總成交的百分比　　　　　：　　　　　　　　   3%


（C） 賣空指定證券（所有指定證券）
　　　賣空交易成交股數　　　　　　　　　　　　　　　　　　　　　：　　　  1,728,062,125
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： CNY　     22,233,493
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： HKD　 22,454,169,401
　　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　： USD　        449,227

市場總成交　　　　　　　　　　　　　　　　　　　　　　　　　　　： HKD　154,258,923,041
賣空所有指定證券佔市場總成交的百分比　　　　　　　　　　　　　　：　　　　　　　　  15%


*總錄得賣空交易之非指定證券數目 　　　　　　　　　　　　　　　　：　　　　　　　      0
　　賣空交易成交股數　　　　　　　　　　　　　　　　　　　　　　：　                  0
　　賣空交易成交金額　　　　　　　　　　　　　　　　　　　　　　： HKD　              0

*沽空非指定證券只適用於相關的流通量提供者及對沖參與者就其提供流通量及達致對沖目的之相關交易。
%以非港元交易的股份
