Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 
    732  信利國際　　　　         162,000        156,620
    751  創維集團　　　　          44,000        124,180
    752  PICO FAR EAST            10,000         17,700
    753  中國國航　　　　       2,884,000     13,574,740
    754  合生創展集團　　          19,300         58,123
    762  中國聯通　　　　       3,692,000     32,409,420
    763  中興通訊　　　　       1,107,400     24,849,650
    772  閱文集團　　　　         203,200      5,260,900
    777  網龍　　　　　　          78,000        775,785
    778  置富產業信託　　          75,000        295,370
    780  同程旅行　　　　       3,676,400     82,266,060
    788  中國鐵塔　　　　         518,500      5,586,490
    799  IGG                     126,000        404,130
    806  惠理集團　　　　         350,000        484,330
    811  新華文軒　　　　           8,000         84,840
    813  世茂集團　　　　          27,500         21,725
    817  中國金茂　　　　       1,936,000      2,351,420
    819  天能動力　　　　         138,000        858,680
    823  領展房產基金　　         972,900     32,978,445
    826  天工國際　　　　         834,000      1,659,620
    830  中國建築興業　　           2,000          2,940
    836  華潤電力　　　　         690,000     12,584,360
    839  中教控股　　　　         386,000        881,430
    853  微創醫療　　　　         459,100      3,258,917
    855  中國水務　　　　         226,000      1,391,620
    856  偉仕佳杰　　　　       1,468,000      8,160,520
    857  中國石油股份　　      26,100,000    141,506,160
    861  神州控股　　　　         153,000        390,370
    863  ＯＳＬ集團　　　          54,000        545,220
    866  中國秦發　　　　         150,000        135,420
    867  康哲藥業　　　　         232,000      1,716,610
    868  信義玻璃　　　　       2,017,000     14,222,300
    874  白雲山　　　　　           8,000        134,400
    880  澳博控股　　　　         825,000      1,797,100
    881  中升控股　　　　         621,500      7,209,030
    883  中國海洋石油　　      11,646,000    191,633,320
    902  華能國際電力股份         282,000      1,257,320
    909  明源雲　　　　　         304,000        880,230
    914  海螺水泥　　　　         959,500     21,782,775
    916  龍源電力　　　　         572,000      3,522,320
    917  趣致集團　　　　           1,800        193,980
    921  海信家電　　　　         501,000     11,776,500
    934  中石化冠德　　　         368,000      1,539,000
    939  建設銀行　　　　      33,606,000    220,066,990
    941  中國移動　　　　       1,714,000    139,331,825
    956  新天綠色能源　　       3,272,000     12,895,770
    960  龍湖集團　　　　       1,751,500     17,943,780
    966  中國太平　　　　         113,400      1,185,660
    968  信義光能　　　　      10,698,000     28,522,940
    975  MONGOL MINING            63,000        351,690
    981  中芯國際　　　　       8,406,500    402,495,125
    990  榮暉國際　　　　         260,000         93,450
    991  大唐發電　　　　       1,258,000      1,995,680
    992  聯想集團　　　　      27,768,000    237,198,260
